x_m,y_m,psi_rad,vx_mps,vy_mps,r_radps
1.1327914675607276,6.483813899561074,-1.7385515,3.0820792,0,1.38486633202512
1.0372265680132964,6.512932914832532,-1.6950257,3.0891988,0,1.30443149281328
0.9404462500421762,6.538025042354702,-1.6546564,3.1039913,0,1.1821898513075602
0.8429239146932053,6.559385958081629,-1.6189756,3.1210584,0,1.04261483909304
0.7445098713447255,6.577545581929702,-1.5886227,3.0820796,0,0.83615648357752
0.6458861227256665,6.592991370294647,-1.5647491,3.0200278,0,0.62069906566728
0.5466944601332488,6.60645749719892,-1.5479877,2.932594,0,0.3783923105606
0.4474895094638671,6.618625837099479,-1.5390331,2.8149956,0,0.13783879305004001
0.34826211536172086,6.630309083831332,-1.538401,2.6647147,0,-0.09940265186851
0.24879107573916176,6.642401130881657,-1.5466084,2.5219834,0,-0.31860796348382
0.1502798610423635,6.655644471270747,-1.563843,2.3903309,0,-0.53172958677118
0.05087380354865771,6.671254713047481,-1.5908396,2.2666675,0,-0.71676083684825
-0.047166054106646656,6.689861237496384,-1.6275675,2.149947,0,-0.8959319336916001
-0.1443249607527336,6.712526691677294,-1.6741159,2.0381514,0,-1.0609124261575198
-0.2409114665987874,6.740434270763632,-1.7316802,1.9277866,0,-1.20056149196488
-0.33471517409380497,6.774024807145912,-1.7996187,1.8173816,0,-1.339882758416
-0.425598541183723,6.814323458208809,-1.8788163,1.7045655,0,-1.4756893993578
-0.5138907531658526,6.863015945625686,-1.9731795,1.5863129,0,-1.6111843826965202
-0.5963657320962966,6.920269245292716,-2.0852657,1.4613763,0,-1.77732088738058
-0.6710295685459126,6.987116694370935,-2.221211,1.3252957,0,-1.96533294512144
-0.7345434422479732,7.064156058053787,-2.3907003,1.1832376,0,-2.29756308720472
-0.7809530047173207,7.151933967704528,-2.6476497,1.1830899,0,-3.8035994822749197
-0.8181082780431896,7.241168489856552,-2.4958573,1.1829421,0,-0.14611168495255
-0.8622013670745962,7.331108912735302,-2.5914074,1.504578,0,-1.8810220614798
-0.895339503194294,7.425471504094815,-2.7159095,1.6114895,0,-1.9830232386935
-0.9166033112159125,7.523017969512633,-2.8379501,1.6902428,0,-2.05463277989232
-0.925898554731525,7.622724328276333,-2.9594147,1.7497086,0,-2.11037585874714
-0.9231816746553929,7.722867927462062,-3.0772848,1.7950153,0,-2.07999246753259
-0.9090279694144567,7.821587539007502,3.0932557,1.8369625,0,-2.04202648149625
-0.8840118021626616,7.918238657569473,2.984013,1.877031,0,-2.0253063130326
-0.8486555131287443,8.011793600932773,2.8769414,1.9136204,0,-2.02376379753504
-0.8035623197279065,8.101120503146857,2.7714513,1.945864,0,-2.0335598095792
-0.7494178126166644,8.185163460943574,2.667072,1.9733093,0,-2.05483085113253
-0.6869779412362403,8.262950426951486,2.5632128,1.9623775,0,-2.0559707400095
-0.6165521763299902,8.334029068694413,2.4581969,1.9389395,0,-2.0560545481032
-0.5388842774780522,8.397325979009652,2.3505406,1.9126589,0,-2.09031698699006
-0.45479315696131895,8.451706796968654,2.2383011,1.8923093,0,-2.17566085611805
-0.36515457154743997,8.495978902185922,2.120011,1.8792575,0,-2.2658376810675
-0.27129299857014005,8.528980577246394,1.9967221,1.8790228,0,-2.39486190997456
-0.17334288285743465,8.550075872302818,1.870935,1.8787881,0,-2.2464173311641598
-0.07478426935652967,8.559562784964966,1.7838933,1.8933596,0,0.35868675207816
0.02208162474675708,8.56524068332799,1.7596792,2.0850637,0,-1.23525053467634
0.12213987201190821,8.565916555028759,1.6957678,2.1750833,0,-1.2869689475437598
0.22233951626612103,8.560626809172938,1.6426129,2.2515963,0,-1.0225966839087601
0.3228852649322235,8.550634234421006,1.6027297,2.3468233,0,-0.78727848642848
0.42216144688090257,8.537363976499519,1.5748291,2.4568815,0,-0.5676863023255501
0.5201317342848409,8.521961526804755,1.5564606,2.5797914,0,-0.35949238371516
0.6195423162552322,8.504890303652676,1.5462418,2.7143355,0,-0.17245747746089998
0.7176176532455024,8.487398494287005,1.5435154,2.8449554,0,0.0173485380292
0.8160570488447735,8.469894443221603,1.5470998,2.9676072,0,0.1916465891724
0.9150406272614531,8.452947627646132,1.5562231,3.0833715,0,0.35754683412855004
1.0133712735391822,8.437273576806158,1.5699039,3.1912038,0,0.5022061244136
1.112954933798554,8.423003745771558,1.5876829,3.2802827,0,0.64248535441356
1.2115950887773534,8.410809618317804,1.6082444,3.2585045,0,0.70617560067965
1.3115821853336402,8.400641860375474,1.6309755,3.1929276,0,0.75033287731584
1.4109373028964014,8.392880566187651,1.6548787,3.1261609,0,0.76804552624297
1.5110501257114393,8.38753496759958,1.6803115,3.0602429,0,0.80749466509998
1.6112239661812695,8.384862264380919,1.7085586,3.0010014,0,0.9045177272674199
1.7109885617683225,8.385215900481619,1.7408984,2.9507376,0,1.0214140492968
1.8112267617138271,8.389028401354418,1.7772866,2.9062391,0,1.10328159958532
1.9105387136162086,8.396587286866119,1.8167828,2.8671284,0,1.1790145196783601
2.009992526263174,8.408273417486745,1.8591412,2.831259,0,1.2316879821621
2.1085080508835183,8.424218487415358,1.9037463,2.7981549,0,1.27843947853434
