# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
13.3888352,-0.0293397,-8.4984314,1.5570752,0.2592802,3.147091,-1.9387545
13.4887519,-0.1289238,-8.4983704,1.5834597,0.2703802,3.0849237,-1.89666
13.5886685,-0.229231,-8.5010259,1.6113319,0.2861498,3.0228692,-1.6819621
13.6885852,-0.3291694,-8.5065685,1.6416564,0.3214224,2.9667534,-1.3864755
13.7885019,-0.4285712,-8.5152995,1.6759175,0.3664916,2.9196852,-1.1759758
13.8884186,-0.5281259,-8.5277178,1.714468,0.4022391,2.8791601,-0.9710878
13.9883353,-0.6263424,-8.5440018,1.7563289,0.43716,2.8452604,-0.8556384
14.0882519,-0.7243766,-8.5646745,1.8013208,0.4611341,2.8150527,-0.748735
14.1881686,-0.8208797,-8.5897197,1.8485117,0.4837341,2.7883507,-0.6859986
14.2880853,-0.9164062,-8.6194991,1.8977475,0.5006077,2.7636596,-0.6356735
14.388002,-1.0101017,-8.6539381,1.9485729,0.5157537,2.7405812,-0.6171059
14.4879187,-1.1019736,-8.6931848,2.0006519,0.5268556,2.7179895,-0.6069729
14.5878353,-1.1916834,-8.7372266,2.0538493,0.537024,2.6955841,-0.6043011
14.687752,-1.2787358,-8.7859194,2.1078881,0.5464527,2.6730907,-0.5794058
14.7876687,-1.3632357,-8.8394417,2.1631557,0.5589742,2.6513448,-0.5538481
14.8875854,-1.4443295,-8.8973877,2.2194943,0.5715895,2.6303901,-0.4333093
14.9875021,-1.5222549,-8.960108,2.2779292,0.59646,2.6138788,-0.2871445
15.0874187,-1.5961171,-9.0271856,2.3386839,0.6230754,2.6028794,-0.0868629
15.1873354,-1.6657351,-9.098802,2.4025234,0.6543105,2.5995429,-0.0504776
15.2872521,-1.730484,-9.1747366,2.4686433,0.6606792,2.597602,-0.0372594
15.3871688,-1.7901835,-9.2548977,2.534081,0.6484865,2.5961684,-0.1178122
15.4870855,-1.8445358,-9.3386965,2.5980042,0.6309554,2.5916303,-0.2569701
15.5870021,-1.8935425,-9.4258488,2.6605261,0.6216497,2.5817042,-0.2733887
15.6869188,-1.936983,-9.5158469,2.7235802,0.6406222,2.5711018,-0.1616685
15.7868355,-1.9745447,-9.6083627,2.7886106,0.6607455,2.5648114,-0.0853168
15.8867522,-2.0059339,-9.7031634,2.8553065,0.6740961,2.5614856,-0.0476799
15.9866689,-2.030874,-9.7998395,2.9230432,0.6808192,2.5596251,-0.0081876
16.0865855,-2.0492017,-9.8980821,2.9913751,0.6870183,2.5593054,-0.0081876
16.1865022,-2.0607445,-9.9972526,3.0600072,0.6848802,2.5589858,0.0069393
16.2864189,-2.0654834,-10.0971476,3.128313,0.6813613,2.5592567,0.0290358
16.3863356,-2.0634412,-10.1969223,-3.0876664,0.665137,2.56039,0.1314352
16.4862523,-2.0547576,-10.296534,-3.021839,0.6497549,2.565514,0.2151751
16.5861689,-2.0396619,-10.3952442,-2.9582678,0.6240041,2.5738806,0.3577782
16.6860856,-2.0184227,-10.4929118,-2.8970843,0.5972552,2.5877321,0.4921956
16.7860023,-1.9914101,-10.5890979,-2.8390787,0.5644094,2.6066673,0.6565059
16.885919,-1.9590049,-10.6836459,-2.784326,0.5286508,2.6317117,0.8299566
16.9858357,-1.9216688,-10.7763073,-2.7334337,0.4906426,2.6630357,1.0116162
17.0857523,-1.8798308,-10.8670484,-2.6864166,0.4487556,2.7007247,1.2176975
17.185669,-1.83399,-10.9557832,-2.6438293,0.4038616,2.7454054,1.4465726
17.2855857,-1.7845582,-11.0426864,-2.6057849,0.3575159,2.7975568,1.6921817
17.3855024,-1.7320993,-11.1276893,-2.5722237,0.3201627,2.8573551,1.8758328
17.4854191,-1.6768583,-11.2110342,-2.5403764,0.316804,2.9222136,1.7840309
17.5853357,-1.6191067,-11.2924476,-2.5088322,0.3181832,2.9825897,1.658373
