Ux_mps,Uy_mps,r_radps,ax_mps2,ay_mps2,speed,delta_rad,TxR,latitude,longitude,altitude,roll,pitch,yaw
-0.02204407,-0.00403369,0.00329986,-0.00932659,-0.01439657,0.00000000,0.00000000,0.00000000,39.96300428,116.30366351,64.82544439,0.00732166,-0.01543882,-0.00825951
-0.01959739,-0.00398548,0.00229403,-0.01451433,-0.01186863,0.00000000,0.00000000,0.00000000,39.96300429,116.30366353,64.82687502,0.00728732,-0.01526390,-0.00829953
-0.01845824,-0.00388935,-0.00074059,-0.01916399,-0.01203516,0.00000000,0.00000000,0.00000000,39.96300429,116.30366354,64.82761226,0.00726594,-0.01516133,-0.00832839
-0.01596189,-0.00378584,0.00095740,-0.01278640,-0.02707209,0.00000000,0.00000000,0.00000000,39.96300429,116.30366356,64.82903782,0.00725725,-0.01499061,-0.00838062
-0.01408894,-0.00376288,0.00190362,-0.01797818,0.00706060,0.00000000,0.00000000,0.00000000,39.96300429,116.30366357,64.83020917,0.00725192,-0.01479838,-0.00842693
-0.01269398,-0.00364165,0.00386909,-0.03115876,-0.00283122,0.00000000,0.00000000,0.00000000,39.96300429,116.30366359,64.83141172,0.00727007,-0.01466672,-0.00847847
-0.01206425,-0.00369184,0.00027791,-0.02526757,0.00799492,0.00000000,0.00000000,0.00000000,39.96300429,116.30366359,64.83196420,0.00726336,-0.01460328,-0.00858857
-0.01052047,-0.00357932,0.00517294,-0.01423182,0.00451498,0.00000000,0.00000000,0.00000000,39.96300429,116.30366360,64.83310188,0.00725979,-0.01453491,-0.00878370
-0.00905449,-0.00362732,0.00122264,0.01049212,0.01150561,0.00000000,0.00000000,0.00000000,39.96300429,116.30366362,64.83420822,0.00724156,-0.01443621,-0.00893796
-0.00757272,-0.00364907,0.00352785,-0.01073037,-0.00103847,0.00000000,-0.01387537,0.00000000,39.96300429,116.30366363,64.83537400,0.00722780,-0.01429506,-0.00909959
-0.00738663,-0.00396869,-0.00332892,0.00505321,-0.03439390,0.00000000,-0.04255113,0.00000000,39.96300429,116.30366363,64.83607297,0.00723089,-0.01429179,-0.00927963
-0.00738655,-0.00334878,-0.00081956,0.02690979,-0.01995232,0.00000000,-0.06105161,0.00000000,39.96300429,116.30366363,64.83640692,0.00720597,-0.01428769,-0.00935818
-0.00732634,-0.00262369,-0.00074655,-0.02287841,0.03910399,0.00000000,-0.09250244,0.00000000,39.96300429,116.30366364,64.83670158,0.00721244,-0.01428918,-0.00954939
-0.00622499,-0.00441476,-0.00903159,-0.01626968,-0.01651619,0.00000000,-0.12580332,0.01072887,39.96300429,116.30366364,64.83690404,0.00706715,-0.01424618,-0.00985267
-0.00421259,-0.00281064,-0.00843257,0.12188002,0.06514236,15.89999962,-0.17390460,0.24709249,39.96300429,116.30366364,64.83704858,0.00681852,-0.01428121,-0.01020615
0.00232408,0.00078633,-0.00041872,1.09461403,-0.17959383,3.29999995,-0.22108085,0.39254707,39.96300429,116.30366365,64.83722406,0.00556027,-0.01466518,-0.01074871
0.02273717,0.00418043,-0.03108234,0.01879409,0.23132136,6.00000000,-0.28120744,0.46527430,39.96300429,116.30366365,64.83731130,0.00275026,-0.01540216,-0.01236564
0.03641289,0.01006746,-0.03024041,0.54200405,0.03393769,7.40000010,-0.31450835,0.39254707,39.96300430,116.30366366,64.83723233,-0.00105496,-0.01608041,-0.01514111
0.03536584,-0.00383868,-0.04123300,-0.24991250,-0.20998134,7.50000000,-0.33763394,0.20163795,39.96300430,116.30366368,64.83732412,-0.00518917,-0.01572887,-0.01839788
0.02832266,-0.00583084,-0.03283322,-0.72343421,-0.09643449,5.30000019,-0.36723474,0.01072887,39.96300430,116.30366369,64.83743809,-0.00594957,-0.01548236,-0.01953355
0.00962914,-0.00794346,-0.03010929,-0.39298236,-0.04258499,1.00000000,-0.38851029,0.00000000,39.96300430,116.30366370,64.83747571,-0.00713610,-0.01541514,-0.02196076
-0.01650602,-0.00266639,-0.01989454,-0.48550105,0.09372586,-0.30000001,-0.41996112,0.00000000,39.96300429,116.30366368,64.83716173,-0.00807019,-0.01541983,-0.02416305
-0.03156584,-0.00790867,-0.06467997,-0.15627083,-0.49504325,-0.30000001,-0.43938664,0.00000000,39.96300429,116.30366365,64.83682400,-0.01090232,-0.01631607,-0.02758346
-0.03346845,-0.01827622,-0.02677441,-0.20188272,-0.34198463,-0.20000000,-0.44586179,0.00000000,39.96300429,116.30366364,64.83670729,-0.01082033,-0.01664202,-0.02884572
-0.02272884,0.00081764,-0.00965148,0.16537614,0.18480864,-0.20000000,-0.45696208,0.00000000,39.96300428,116.30366361,64.83638990,-0.00939673,-0.01767427,-0.02920076
-0.02069311,-0.01159071,-0.01816749,0.12040018,-0.25545192,0.40000001,-0.47823766,0.08345614,39.96300428,116.30366359,64.83611085,-0.01107030,-0.01758766,-0.03047938
-0.01595275,-0.01163372,-0.03673434,0.02477781,0.04643904,1.29999995,-0.49673817,0.20163795,39.96300428,116.30366357,64.83589632,-0.01127578,-0.01774556,-0.03268274
-0.00985683,-0.01020057,-0.01331568,0.11221647,0.30505225,2.50000000,-0.52356386,0.21981977,39.96300428,116.30366356,64.83574484,-0.01143085,-0.01816740,-0.03502150
-0.01366699,-0.00583971,-0.03441275,-0.40249467,0.07390315,2.09999990,-0.55316466,0.26527432,39.96300428,116.30366356,64.83576582,-0.01211732,-0.01803251,-0.03604448
-0.01529342,-0.01431000,-0.02582967,0.21695630,-0.10785817,2.50000000,-0.57166511,0.30163795,39.96300428,116.30366355,64.83567170,-0.01293435,-0.01838876,-0.03878692
-0.00781018,-0.00845521,-0.04050285,0.22632447,0.03910287,4.59999990,-0.58461547,0.36527431,39.96300427,116.30366354,64.83573660,-0.01324577,-0.01879585,-0.04066396
