x_m,y_m,latitude,longitude
-0.003714966191398581,0.003935193668197986,39.96300551,116.3036826
-0.0028722728508157984,0.003807833026412733,39.96300551,116.30368261
-0.0028722728508157984,0.003807833026412733,39.96300551,116.30368261
-0.002029578312693,0.0036804722036370098,39.96300551,116.30368262
-0.002029578312693,0.0036804722036370098,39.96300551,116.30368262
-0.0011868849721102174,0.003553111561851758,39.96300551,116.30368263
-0.002029578312693,0.0036804722036370098,39.96300551,116.30368262
-0.002029578312693,0.0036804722036370098,39.96300551,116.30368262
-0.0028722728508157984,0.003807833026412733,39.96300551,116.30368261
-0.00455766072952138,0.004062554490973709,39.96300551,116.30368259
-0.00455766072952138,0.004062554490973709,39.96300551,116.30368259
-0.005400354070104162,0.004189915132758961,39.96300551,116.30368258
-0.006243047410686945,0.004317275774544212,39.96300551,116.30368257
